name,keyword,category,inventory,price_cut,price_origin,price_sale,discount,dis_num,favor_num,des_score,price_score,quality_score,service_score,dif,包邮,双十一,新款,韩版,英伦,欧美,冬装,礼盒,明星,均码,通勤,学院,情侣,dis_price,discount1,discount21,discount22,discount23,discount24,discount25,双十一红包,满减券,其他优惠,dis_num1,dis_strength,dis_strength1,easy_satisfy,easy_satisfy1
【草之沐沐】冬季新品女装时尚韩版麂皮绒上衣外套大码保暖大衣女,"XSSML 基本款,韩系 麂皮 加厚 直身 粉红色,卡其色,蓝色 中长款（66-80cm） 其他领型 长袖 撞色 色块 冬季",女装,5999,-10.8,996,298.8,11.11红包最高再抵           30.00元,2,27,4.89,4.88,4.88,4.86,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.3,1,1,0,0,0,0,1,0,0,2种优惠,0,0,0,0
【多样式】2016新款冬装高档送礼男士羊绒加长围巾保暖百搭,"均码 6010酒红色 6010灰色 6011酒红色 6011咖啡色 6012蓝色 6012红色 6013蓝色 6013咖啡色 6015桔色花 6015红色花 6016红花 6016桔花 6017灰色 6017红色 6018蓝色 6018红色 6019灰色 6019咖啡色 学院风,文艺小清新,韩款 冬季 围巾/丝巾 仿山羊绒 长方形 保暖 拼色/撞色,格子 30cm-70cm 175cm-230cm 175cm-230cm 仿山羊绒",男士饰品,17868,-2,84.28,59,购物满3元立减3元,1,18,4.68,4.66,4.68,4.67,203,0,0,1,0,0,0,1,0,0,1,0,1,0,0.700047461,1,0,1,0,0,0,0,1,0,不超过1种优惠,1,1,0.052631579,"(0,1]"
【妃登】头层牛皮韩系花边方头短靴粗跟高跟鞋后拉链裸靴女靴,"白色 34 35 36 37 38 39 方头 白色 短靴 高跟（5-8CM） TPU 甜美,韩系 橡胶底 真皮 粗跟 水染 纯色 短筒 头层牛皮 秋冬 套脚"">更多参数<i></i></a>",女鞋,600,0,930,651,购物满150元立减5元,1,2,4.7,4.68,4.67,4.67,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.7,1,0,1,0,0,0,0,1,0,不超过1种优惠,0.033333333,0,0.230414747,"(0,1]"
【妃登】头层牛皮欧美风金属尖头短靴平底靴切尔西靴秋冬潮搭女靴,"黑色 白色 34 35 36 37 38 39 尖头 黑色,白色 切尔西靴 低跟（1-3CM） TPU 男友风,欧美 橡胶底 超纤 平跟（无跟） 无工艺效果 纯色 短筒 头层牛皮 秋冬 套脚"">更多参数<i></i></a>",女鞋,1200,0,860,602,购物满150元立减5元,1,10,4.7,4.68,4.67,4.67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.7,1,0,1,0,0,0,0,1,0,不超过1种优惠,0.033333333,0,0.249169435,"(0,1]"
【赫本家】冬季韩版女装新款夹克鹿皮绒羊羔毛厚棉服短款机车外套,"SMLXL 韩系 羊羔毛 加厚 直身 咖啡色,藏青 常规款（51-65cm） 拉链 西装领 长袖 拼接,拉链装饰,金属装饰,纯色,口袋 纯色 冬季",女装,737,-11.32,283,198.1,11.11红包最高再抵           20.00元,2,3213,4.76,4.76,4.74,4.77,32,0,0,1,1,0,0,1,0,0,0,0,0,0,0.7,1,1,0,0,0,0,1,0,0,2种优惠,0,0,0,0
【礼盒包装】男士渐变羊绒商务围巾保暖百搭高档围巾男友生日礼物,"均码 黑色 咖啡色 商务,欧美 冬季 围巾/丝巾 其他材质 长方形 黑色,卡其色 保暖 渐变 30cm-70cm 175cm-230cm 175cm-230cm 其他材质",男士饰品,372,-0.171428571,126,88.17142857,NO INF,0,74,4.64,4.62,4.63,4.66,8,0,0,0,0,0,1,1,1,0,1,0,0,0,0.699773243,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【礼盒包装】男士商务韩版自动扣真皮牛皮皮带,"长度110至125CM，默认随机发货，需要指定长度请留言备注 黑色 日韩,商务 合金头 字母,光身,车缝线 单圈 3-4cm 自动扣 光面 字母,光身,车缝线 牛皮",男士饰品,131,-13,65,45.5,NO INF,0,21,4.69,4.66,4.67,4.67,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【礼盒包装】男士商务围巾加长格子男生围巾送礼生日礼物冬季,"均码 K79藏青 K75藏青 商务,基本款 冬季 围巾/丝巾 羊毛 长方形 藏青 毛边,双面 保暖 格子,星星 30cm-70cm 175cm-230cm 175cm-230cm 羊毛",男士饰品,397,-1.028571429,126,88.02857143,NO INF,0,8,4.64,4.62,4.63,4.66,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.698639456,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【礼盒装】潮男百搭自动扣牛皮皮带男男友礼物皮带腰带男饰品,"100-105 110-115 120-125 或者下单备注腰围、裤码 几何款 头像款 不锈钢头 几何款,头像款 光身 单圈 普通款(2-4cm) 自动扣 光面 光身 牛皮 120-125,100-105,110-115,或者下单备注腰围、裤码",男士饰品,800,0,400,280,购物满100元立减5元 购物满200元立减10元 购物满300元立减20元,3,0,4.75,4.75,4.76,4.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,1,0,1,0,0,0,0,1,0,>2种优惠,0.055555556,1,0.357142857,"(0,1]"
【礼盒装】复古商务进口牛皮板扣皮带,"拍下请留言腰围或裤码 黑色 基本款,运动 合金头 光身,其它 单圈 3-4cm 平滑扣 光面 光身,其它 牛皮",男士饰品,132,-20,70,49,NO INF,0,15,4.75,4.73,4.74,4.74,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【礼盒装】高档精品纯铜扣皮带霸气狮子头男士商务腰带钢扣裤,"拍下请留言腰围或裤码 钢扣黑色 铜扣黑色 铜头 铜扣黑色,钢扣黑色 轧花 单圈 3-4cm 自动扣 印花 轧花 牛皮 拍下请留言腰围或裤码",男士饰品,200,0,370,259,购物满100元立减5元 购物满200元立减10元 购物满300元立减20元,3,0,4.75,4.75,4.76,4.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,1,0,1,0,0,0,0,1,0,>2种优惠,0.055555556,1,0.386100386,"(0,1]"
【礼盒装】男士牛皮皮带韩版皮带男腰带自动扣男皮带裤腰带,"100-105 110-115 120-125 或备注腰围、裤码 金扣黑色皮带 银扣咖色皮带 运动 不锈钢头 银扣咖色皮带,金扣黑色皮带 光身 单圈 普通款(2-4cm) 挂钩 光面 光身 牛皮 120-125,100-105,110-115,或备注腰围、裤码",男士饰品,800,0,400,280,购物满100元立减5元 购物满200元立减10元 购物满300元立减20元,3,0,4.75,4.75,4.76,4.74,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.7,1,0,1,0,0,0,0,1,0,>2种优惠,0.055555556,1,0.357142857,"(0,1]"
【礼盒装】男士牛皮皮带韩版皮带男腰带自动扣男皮带裤腰带,"100-105 110-115 120-125 或者下单备注腰围、裤码 金扣黑色皮带 金扣棕色皮带 民族 不锈钢头 金扣棕色皮带,金扣黑色皮带 光身 单圈 普通款(2-4cm) 挂钩 软面 光身 牛皮 120-125,100-105,110-115,或者下单备注腰围、裤码",男士饰品,799,0,400,280,购物满100元立减5元 购物满200元立减10元 购物满300元立减20元,3,0,4.75,4.75,4.76,4.74,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.7,1,0,1,0,0,0,0,1,0,>2种优惠,0.055555556,1,0.357142857,"(0,1]"
【礼盒装】男士牛皮皮带韩版皮带男腰带自动扣男皮带裤腰带,"100 105 110 115 120 125 黑扣棕色皮带 金边扣黑色皮带 欧美 不锈钢头 黑扣棕色皮带,金边扣黑色皮带 光身 单圈 普通款(2-4cm) 挂钩 光面 光身 牛皮 125,115,110,105,120,100",男士饰品,1200,0,400,280,购物满100元立减5元 购物满200元立减10元 购物满300元立减20元,3,0,4.75,4.75,4.76,4.74,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.7,1,0,1,0,0,0,0,1,0,>2种优惠,0.055555556,1,0.357142857,"(0,1]"
【礼盒装】男士商务时尚休闲真皮自动扣皮带,"长度110至125CM，默认随机发货，需要指定长度请留言备注 黑色 日韩,商务 合金头 光身,车缝线 单圈 3-4cm 自动扣 光面 光身,车缝线 牛皮",男士饰品,263,-13,65,45.5,NO INF,0,15,4.69,4.66,4.67,4.67,203,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【礼盒装】男士商务时尚休闲真皮自动扣皮带,"长度110至125CM，默认随机发货，需要指定长度请留言备注 黑色 日韩,运动 合金头 光身,车缝线 单圈 3-4cm 自动扣 光面 光身,车缝线 牛皮",男士饰品,184,-11,70,49,NO INF,0,0,4.69,4.66,4.67,4.68,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【礼盒装】男士时尚休闲针扣真皮皮带多个款式,"宽度为3.8CM，长度110至125CM，默认随机发货，如需指定长度请留言备注 A款 B款 C款 日韩,学院 合金头 字母,光身,车缝线 单圈 3-4cm 针扣 印花 字母,光身,车缝线 牛皮",男士饰品,1072,-13,65,45.5,NO INF,0,7,4.69,4.66,4.67,4.67,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0.7,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【礼盒装】送老公送男友二层牛皮平滑扣裤腰带皮带,均码 黑色105CM 黑色110CM 黑色115CM 黑色120CM 黑色125CM 咖啡105CM 咖啡110CM 咖啡115CM 咖啡120CM 咖啡125CM 复古 不锈钢头 光身 单圈 针扣 软面 光身 PU皮,男士饰品,4998,-9,196,98,购物满100元立减5元 购物满200元立减10元 购物满300元立减20元,3,2,4.79,4.78,4.79,4.79,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,1,0,1,0,0,0,0,1,0,>2种优惠,0.055555556,1,1.123595506,"(1,2]"
【礼盒装】头层牛皮自动扣皮带男友礼物皮带腰带男士韩版皮带,"105-110 115-120 125 黑色 棕色 运动 合金头 棕色,黑色 光身 单圈 普通款(2-4cm) 挂钩 光面 光身 牛皮 125,115-120,105-110",男士饰品,600,0,400,280,购物满100元立减5元 购物满200元立减10元 购物满300元立减20元,3,0,4.75,4.75,4.76,4.74,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.7,1,0,1,0,0,0,0,1,0,>2种优惠,0.055555556,1,0.357142857,"(0,1]"
【领卷立减30】英伦风气质圆头粗跟加绒潮流百搭时尚系带马丁靴,"黑色 35 36 37 38 39 圆头 机车靴,英伦风,绑带（系带) 黑色 马丁靴 低跟（1-3cm） 人造革（PU） 英伦,百搭 橡胶底 人造短毛绒 粗跟 拼接,漆皮 条纹,纯色 短筒 人造革（PU） 秋冬 套脚,系带",女鞋,979,0,148,118.4,购物满200元立减60元,1,1266,4.67,4.67,4.65,4.69,43,0,0,0,0,1,0,1,0,0,0,0,0,0,0.8,1,0,1,0,0,0,0,1,0,不超过1种优惠,0.3,1,1.689189189,"(1,2]"
【买一赠三】真皮袁姗姗同款小白鞋秋冬女运动鞋韩版厚底板鞋学生,"白色粉 白色黑 34 35 36 37 38 39 40 圆头 厚底内增高,绑带（系带) 白色黑,白色粉 中跟（3-5CM） 牛皮 运动,韩系 橡胶底 PU 厚底（松糕） 光板（无工艺效果） 其他 二层牛皮 秋季 系带",女鞋,1197,-5.514,183.14,124.514,购物满200元立减12元,1,17003,4.89,4.88,4.88,4.89,95,0,0,0,1,0,0,1,0,1,0,0,0,0,0.679884242,1,0,1,0,0,0,0,1,0,不超过1种优惠,0.06,1,1.680672269,"(1,2]"
【免费试穿】头层牛皮秋冬季新品厚底短靴牛筋底马丁靴,"黑色 酒红色 35 36 37 38 39 40 圆头 绑带（系带) 黑色,酒红色 马丁靴 中跟（3-5cm） 头层牛皮 学院 牛筋底 二层牛皮 厚底(松糕) 无工艺效果 纯色 中筒 头层牛皮 秋冬 系带",女鞋,5849,-15.66666667,197.5,154.6666667,购物满100元立减3元,1,679,4.78,4.75,4.78,4.77,99,0,0,0,0,0,0,1,0,0,0,0,1,0,0.783122363,1,0,1,0,0,0,0,1,0,不超过1种优惠,0.03,0,0.71942446,"(0,1]"
【女王的店】韩版学院风秋冬季透气厚底休闲运动鞋,36 37 38 39 40 圆头 绑带（系带） 黑色 中跟（3-5cm） 韩系 橡胶底 网纱 厚底（松糕） 拼接 色块 人造革(PU) 秋冬 系带,女鞋,953,-7.5,170,116.5,购物满300元立减20元,1,456,4.69,4.68,4.68,4.7,124,0,0,0,1,0,0,1,0,0,0,0,1,0,0.685294118,1,0,1,0,0,0,0,1,0,不超过1种优惠,0.066666667,1,2.752293578,"(2,8]"
【女友家】欧洲站真皮厚底短靴秋冬保暖加棉休闲马丁靴,"833-1二棉 833-1大棉 833-1单里 35 36 37 38 39 40 圆头 黑色 中筒靴 中跟（3-5CM） 合成革 原创设计,欧美 橡胶底 棉 厚底（松糕） 擦色 纯色 中筒 二层牛皮 秋冬 绑带"">更多参数<i></i></a>",女鞋,1525,-1.663333333,225.71,157.6633333,购物满168元立减5元,1,5673,4.82,4.78,4.79,4.81,111,0,0,0,0,0,1,1,0,0,0,0,0,0,0.698521702,1,0,1,0,0,0,0,1,0,不超过1种优惠,0.029761905,0,1.076923077,"(1,2]"
【欧洲站】秋冬新品复古马丁靴学生短靴百搭粗跟圆头切尔西靴,"黑色（单里） 黑色（绒里） 35 36 37 38 39 圆头 机车靴,英伦风,切尔西靴 黑色 马丁靴 低跟（1-3cm） 人造革（PU） 学院,欧美 牛筋底 PU 粗跟 漆皮 其他,纯色 短筒 人造革（PU） 秋冬 套脚,松紧带",女鞋,1333,0,179,125.3,NO INF,0,1305,4.79,4.75,4.76,4.77,192,0,0,0,0,1,1,1,0,0,0,0,1,0,0.7,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【时尚韩城】2016秋冬新款羊毛呢子大衣长款毛呢外套米色女装,"SMLXL 常规袖 韩系,通勤（OL） 羊毛 直身 米白 长款（81-100cm） 多粒单排扣 POLO领 长袖 纯色,口袋,绒面 纯色 秋冬",女装,3484,-3.2,426,298.2,11.11红包最高再抵           30.00元,2,21,4.82,4.81,4.81,4.83,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0.7,1,1,0,0,0,0,1,0,0,2种优惠,0,0,0,0
【双11促销】真皮新款马丁靴女英伦风磨砂短靴秋冬粗跟及踝靴,"单里黑色 单里卡其 短绒黑色 短绒卡其 35 36 37 38 39 圆头 英伦风,切尔西靴 短绒黑色,单里黑色,单里卡其,短绒卡其 短靴 中跟（3-5CM） 绒面 复古,韩系 橡胶底 超纤 平跟（无跟） 拼接,绒面 纯色 短筒 头层牛皮 秋冬 拉链",女鞋,1681,0,235,148,NO INF,0,3021,4.82,4.78,4.8,4.8,123,0,1,1,1,1,0,1,0,0,0,0,0,0,0.629787234,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
【顺丰包邮】头层牛皮短靴粗跟高跟鞋显瘦尖头鞋厚绒保暖切尔西靴,"34保暖绒里 35保暖绒里 36保暖绒里 37保暖绒里 38保暖绒里 39保暖绒里 34透气单里 35透气单里 36透气单里 37透气单里 38透气单里 39透气单里 尖头 机车靴,英伦风,切尔西靴 酒红色 短靴 高跟（5-8CM） 头层牛皮 性感,名媛 橡胶底 超纤 粗跟 拼接,擦色 其他,渐变 短筒 头层牛皮 秋冬 套脚,松紧带",女鞋,5988,-10.1,456,309.1,购物满19元包邮,1,56,4.81,4.8,4.79,4.78,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0.677850877,1,0,0,0,0,1,0,0,1,不超过1种优惠,0,0,0,0
【送棉袜+返现3元】冬季新款男士立领时尚休闲保暖棉衣棉服,L XL 2XL 3XL 4XL 常规袖 撞色 街头 棉 直身 常规款 立领 纯色 长袖 灰色 黑色 红色,男装,2996,0,476,238,活动商品买4件免1件 购物满2件立减5元 购物满3件立减10元,3,13,4.78,4.79,4.78,4.79,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,1,0,1,0,1,0,0,1,1,>2种优惠,0,0,0,0
【送围巾+返现20元】秋冬新款男士立领棒球领保暖休闲羽绒服,M L XL 2XL 3XL 4XL 常规袖 其它 男友风 复合 修身 常规款 立领 纯色 灰色 黑色 红色,男装,3584,0,716,358,活动商品买4件免1件 购物满2件立减5元 购物满3件立减10元 购物满5件立减30元,4,39,4.8,4.8,4.8,4.81,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,1,0,1,0,1,0,0,1,1,>2种优惠,0,0,0,0
【送围巾+返现3元】冬季男士纯色短款加厚外套连帽羽绒服,M L XL 2XL 3XL 口袋 基本款 其它材质 宽松 短款 连帽 纯色 黑色 红色 蓝色,男装,7500,0,598,299,活动商品买4件免1件 购物满2件立减5元 购物满3件立减10元 购物满5件立减30元,4,41,4.79,4.79,4.79,4.8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,1,0,1,0,1,0,0,1,1,>2种优惠,0,0,0,0
【退换货免邮费】2016秋季新款前拉链短靴中跟短筒马丁靴,"黑色 35 36 37 38 39 40 圆头 拉链 黑色 马丁靴 中跟（3-5cm） 二层牛皮 街头潮人,欧美 橡胶底 二层牛皮 方跟 无工艺效果 纯色 短筒 二层牛皮 秋冬 拉链",女鞋,2830,-16,181.25,145,购物满100元立减3元,1,690,4.78,4.75,4.78,4.77,74,0,0,1,0,0,1,1,0,0,0,0,0,0,0.8,1,0,1,0,0,0,0,1,0,不超过1种优惠,0.03,0,0.775193798,"(0,1]"
【下单送价值19.9元礼物】牛皮切尔西靴粗跟高跟鞋及踝靴短靴,"黑色【牛皮】 34【品牌旗舰店】 35【品质三包】 36【只做时尚】 37【潮流风向标】 38【标准尺码】 39【15天退换】 尖头 英伦风,切尔西靴 黑色【牛皮】 短靴 高跟（5-8CM） 反毛皮 欧美,森系 橡胶底 人造短毛绒 粗跟 拼接,磨砂 纯色 短筒 头层牛皮 秋冬 套脚",女鞋,1729,-4,572.5,225,购物满5元立减5元,1,647,4.8,4.76,4.79,4.78,21,0,0,0,0,1,1,1,0,0,0,0,0,0,0.3930131,1,0,1,0,0,0,0,1,0,不超过1种优惠,1,1,0.022624434,"(0,1]"
【洋洋家】秋季新款女装韩版修身显瘦小脚铅笔裤休闲裤女长裤," SMLXLXXL 韩系,通勤（OL） 棉布 常规 黑色,白色 纯色 春秋",女装,1417,-4.12,288,69.12,11.11红包最高再抵           8.00元,2,129,4.71,4.73,4.74,4.75,12,0,0,1,1,0,0,0,0,0,0,1,0,0,0.24,1,1,0,0,0,0,1,0,0,2种优惠,0,0,0,0
【依芙莎】秋冬新款女装驼色羊绒毛呢大衣加长款时尚外套风衣女,"SML 常规袖 街头（潮人）,欧美 羊绒 普通 X型（收腰） 驼色 加长款（大于100cm） 一粒扣 西装领 长袖 纯色 纯色 秋冬",女装,5997,-7.608888889,428,298.6488889,11.11红包最高再抵           30.00元,2,25,4.8,4.76,4.79,4.83,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.697777778,1,1,0,0,0,0,1,0,0,2种优惠,0,0,0,0
16冬季新款平底真皮毛毛靴平跟休闲女靴子显瘦保暖雪地靴短靴女,"黑色 34 35 36 37 38 39 圆头 机车靴,绑带（系带) 黑色 短靴 平跟（小于等于1CM） 头层牛皮 百搭,韩系 橡胶底 羊毛 平跟（无跟） 拼接,磨砂 纯色 短筒 羊皮 冬季 套脚,系带",女鞋,47,0,388,271.6,NO INF,0,19,4.82,4.81,4.81,4.82,9,0,0,1,1,0,0,1,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
16秋冬新款男士修身长袖T恤韩版纯棉男装印花星星潮男打底衫,"M L XL 2XL XXXL 常规袖 夹棉 日韩,基本款 棉 修身 圆领 纯色,星星 长袖",男装,997,-16.41666667,141,95.41666667,购物满2元立减2元 购物满199元立减5元 购物满299元立减10元 购物满399元立减20元,4,3,4.68,4.63,4.65,4.67,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0.676713948,1,0,1,0,0,0,0,1,0,>2种优惠,0.277173939,1,0.025316456,"(0,1]"
16新款全小牛皮细高跟纯皮及膝靴尖头细跟高跟侧拉链气质长筒靴,"米白色 黑色 34 35 36 37 38 39 尖头 机车靴,拉链 米白色,黑色 长筒靴（中筒靴） 超高跟（大于8cm） 头层牛皮 性感,欧美 橡胶底 人造长毛绒 细跟 水染 纯色 及膝 头层牛皮 秋冬 拉链",女鞋,600,0,854,597.8,购物满248元立减10元,1,0,4.69,4.68,4.67,4.66,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.7,1,0,1,0,0,0,0,1,0,不超过1种优惠,0.040322581,0,0.414854466,"(0,1]"
18K玫瑰金项链女士日韩国配饰品简约气质短款字母女锁骨链,"字母 未镶嵌 否 是 淑女,复古,民族,甜美,韩国,韩系 水波链 21cm-50cm 钛钢 钛钢",女士配饰,2,0,49,49,NO INF,0,2,4.75,4.65,4.65,4.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,不超过1种优惠,0,0,0,0
2016冬季粗毛线情侣围巾韩版学生纯色围巾,"均码 黑色 藏青色 米白色 卡其色 学院风,百搭,简约欧美,复古,学院,英伦 冬季,春秋 围巾/丝巾 毛线 长方形 保暖 加厚,纯色 30cm-70cm 175cm-230cm 175cm-230cm 毛线",男士饰品,1199,-6,80,56,购物满500元立减20元 购物满5元立减5元 购物满5元立减5元,3,2,4.71,4.71,4.7,4.71,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0.7,1,0,1,0,0,0,0,1,0,>2种优惠,0.68,1,0.1,"(0,1]"
2016冬季韩版修身羽绒服女装中长款加厚中长款连帽外套,"MLXL2XL 常规袖 嬉皮,韩系 涤纶 加厚 H型 深棕色 中长款（66-80cm） 拉链 连帽 长袖 烫钻 纯色,字母 冬季",女装,23982,-19.3,369,258.3,11.11红包最高再抵           25.00元,2,196,4.65,4.69,4.67,4.68,16,0,0,1,1,0,0,1,0,0,0,0,0,0,0.7,1,1,0,0,0,0,1,0,0,2种优惠,0,0,0,0
