产品名称,旅游方式,供应商,等级,景点个数,交通,用餐,自由活动,五分,四分,三分,总评价,出游人数,评价人数,出发地,最低报价,周日报价,周一报价,周二报价,周三报价,周四报价,周五报价,周六报价,跟团地点,旅游线路
美国旧金山+洛杉矶+硅谷3日2晚跟团游(3钻)·圣塔芭芭拉+叮当车,跟团游,供应商：熊大国旅,2晚3钻,共6个景点，包含6个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,31人出游,1条点评,洛杉矶,950,￥950起,￥950起,￥950起,￥950起,￥950起,￥950起,￥950起,目的地跟团,西海岸
美国黄石国家公园+盐湖城+旧金山+拉斯维加斯8日7晚半自助游(3钻)·深度黄石+布莱斯峡谷国家公园 含必付,半自助游,供应商：熊大国旅,7晚3钻,共10个景点，包含8个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(2),(0),(0),5.0?分,16人出游,2条点评,洛杉矶,3085,,,,￥3585起,￥3585起,,,目的地跟团,西海岸
美国黄石国家公园+盐湖城6日5晚半自助游(3钻)·黄石+布莱斯峡谷+羚羊彩穴+大提顿公园,半自助游,供应商：熊大国旅,5晚3钻,共7个景点，包含6个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(1),(0),(0),5.0?分,19人出游,1条点评,洛杉矶,2946,,,,￥3446起,￥3446起,￥3446起,￥3446起,目的地跟团,西海岸
美国休斯顿+达拉斯+奥斯汀+圣安东尼奥+新奥尔良8日7晚跟团游(3钻)·牛仔小镇+农场庄园,跟团游,供应商：熊大国旅,"3晚4钻,4晚3钻",共8个景点，包含2个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,新产品,1条点评,休斯顿,5435,,,,,￥5935起,,￥5935起,目的地跟团,西海岸
美国旧金山+波特兰+西雅图5日4晚跟团游·101公路海岸风景线+红杉木森林公园,跟团游,供应商：熊大国旅,4晚2钻,共8个景点，包含4个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,新产品,1条点评,旧金山,2695,,,,,,,￥3065起,目的地跟团,西海岸
美国西海岸+拉斯维加斯+大峡谷西峡+盐湖城+黄石国家公园7日跟团游(3钻)·羚羊彩穴+大提頓+北美最大沙漠+outlet,跟团游,供应商： 开元周游,6晚3钻,共21个景点，包含13个经典景点：,行车时长4小时,21次自理,暂无自由活动信息,(1),(0),(0),5.0?分,新产品,1条点评,洛杉矶,5279,￥5279起,￥5279起,￥5279起,￥5279起,￥5279起,,￥5279起,目的地跟团,西海岸
美国西雅图+奥林匹亚+波特兰7日6晚跟团游·国家公园壮丽风光+小镇德国风情,跟团游,供应商：熊大国旅,"5晚3钻,1晚2钻",共16个景点，包含8个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(3),(0),(1),4.5?分,24人出游,4条点评,西雅图,3962,￥4662起,,,￥4362起,,,￥4362起,目的地跟团,西海岸
美国波特兰+西雅图2日1晚跟团游·国际玫瑰中心+伍德伯恩购物,跟团游,供应商：熊大国旅,1晚3钻,共2个景点，包含2个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(2),(0),(1),4.3?分,19人出游,3条点评,,,,,,,,,,目的地跟团,西海岸
越野自驾·加州一号公路+西部公园环线+黄石探秘,跟团游,零售商：由爱玩兔直售，并提供咨询/预订/售后服务,"9晚3钻,3晚2钻,1晚4钻",共41个景点，包含26个经典景点：,行车时长89.4小时,12次非自理，1次自理,自由活动2次/2小时,(1),(0),(0),5.0?分,新产品,1条点评,北京,36300,,,,,,,实时计价,目的地跟团,西海岸
越野自驾·加州一号公路+西部公园环线+黄石探秘,跟团游,零售商：由爱玩兔直售，并提供咨询/预订/售后服务,"9晚3钻,3晚2钻,1晚4钻",共28个景点，包含22个经典景点：,行车时长88.9小时,12次非自理，1次自理,自由活动2次/2小时,(2),(0),(0),5.0?分,新产品,2条点评,,,,,,,,,,目的地跟团,西海岸
美国西海岸+洛杉矶+拉斯维加斯+旧金山+黄石国家公园11日10晚半自助游(3钻)·黄石公园+纳帕酒乡+大提顿国家公园 含必付,半自助游,供应商：熊大国旅,10晚3钻,共11个景点，包含8个经典景点：,行车时长12小时,暂无用餐信息,自由活动1次,(2),(1),(1),4.3?分,34人出游,4条点评,洛杉矶,7077,￥8177起,￥8177起,￥7877起,￥7877起,,,￥7877起,目的地跟团,西海岸
美国西海岸+洛杉矶+拉斯维加斯+旧金山+黄石国家公园7日6晚半自助游(3钻)·黄石公园+羚羊彩穴摄影之旅,半自助游,供应商：熊大国旅,6晚3钻,共10个景点，包含9个经典景点：,行车时长26小时,暂无用餐信息,自由活动1次,(1),(1),(0),4.5?分,39人出游,2条点评,旧金山,3254,￥4054起,￥4054起,￥4054起,￥3754起,￥3754起,￥3754起,,目的地跟团,西海岸
美国旧金山+洛杉矶+拉斯维加斯7日6晚跟团游(3钻)·赌城+大峡谷+主题乐园 含必付,跟团游,供应商：熊大国旅,6晚3钻,共10个景点，包含9个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(1),(0),(1),4.0?分,15人出游,2条点评,旧金山,3514,￥4314起,￥4314起,￥4014起,￥4014起,￥4014起,￥4014起,￥4014起,目的地跟团,西海岸
美国西雅图+波特兰+旧金山7日6晚跟团游·101公路海岸风景线 红杉木森林公园,跟团游,供应商：熊大国旅,6晚3钻,共13个景点，包含6个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(1),(0),4.5?分,新产品,2条点评,西雅图,3693,,,,,￥3993起,,,目的地跟团,西海岸
美国西雅图+奥林匹亚+波特兰6日5晚跟团游·含奥林匹克国家公园项目【2017限时促销】,跟团游,供应商：熊大国旅,5晚3钻,共13个景点，包含7个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(2),(2),(0),4.5?分,35人出游,4条点评,西雅图,3000,￥4000起,,,,,,,目的地跟团,西海岸
美国西海岸+洛杉矶+拉斯维加斯+旧金山+黄石国家公园9日8晚跟团游(3钻)·4星酒店+羚羊彩穴+主题乐园 含必付,跟团游,供应商：熊大国旅,8晚3钻,共14个景点，包含11个经典景点：,行车时长24小时,暂无用餐信息,自由活动1次,(3),(0),(0),5.0?分,19人出游,3条点评,旧金山,6471,￥7271起,￥7271起,￥7271起,￥6971起,￥6971起,,,目的地跟团,西海岸
美国洛杉矶+拉斯维加斯+旧金山12日11晚半自助游·入门级自驾 一号海岸公路,半自助游,供应商：熊大国旅,暂无酒店信息,共56个景点，包含21个经典景点：,行车时长26.5小时,36次自理,暂无自由活动信息,(1),(1),(1),4.0?分,16人出游,3条点评,旧金山,9623,￥9623起,￥9623起,￥9623起,￥9623起,￥9623起,￥9623起,￥9623起,目的地跟团,西海岸
美国西海岸+洛杉矶+拉斯维加斯+旧金山+黄石国家公园8日7晚半自助游(3钻)·4星酒店+羚羊彩穴+摄影之旅 含必付,半自助游,供应商：熊大国旅,7晚3钻,共10个景点，包含9个经典景点：,行车时长21小时,暂无用餐信息,自由活动1次,(1),(1),(1),4.0?分,23人出游,3条点评,旧金山,4146,￥4946起,￥4946起,￥4946起,￥4646起,￥4646起,￥4646起,,目的地跟团,西海岸
美国盐湖城+黄石国家公园4日3晚跟团游(3钻)·精致产品+玩转黄石,跟团游,供应商：熊大国旅,3晚3钻,共6个景点，包含4个经典景点：,暂无交通信息,12次非自理,暂无自由活动信息,(4),(0),(0),4.4?分,60人出游,5条点评,盐湖城,2066,,,,,,￥2066起,,目的地跟团,西海岸
美国洛杉矶+拉斯维加斯+旧金山10日9晚跟团游(4钻)·主题项目+洛杉矶接机+拉斯大道酒店含必付,跟团游,供应商：熊大国旅,9晚4钻,共11个景点，包含10个经典景点：,暂无交通信息,暂无用餐信息,自由活动3次,(1),(0),(2),3.7?分,19人出游,3条点评,洛杉矶,7429,￥9129起,￥9129起,￥8829起,￥8829起,￥8829起,￥8829起,￥8829起,目的地跟团,西海岸
美国黄石国家公园+盐湖城+旧金山+拉斯维加斯11日10晚跟团游(3钻)·大峡谷+鲍威尔湖+全网特惠价 【限时促】,跟团游,供应商：熊大国旅,10晚3钻,共17个景点，包含15个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(1),(1),4.0?分,22人出游,3条点评,旧金山,4386,￥5186起,￥5186起,,,,,,目的地跟团,西海岸
美国西海岸+洛杉矶+旧金山+拉斯维加斯9日8晚跟团游(3钻)·拉斯之不二情书【强推】【淡季大促】含必付,跟团游,供应商：熊大国旅,8晚3钻,共11个景点，包含11个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(1),(1),(3),3.6?分,34人出游,5条点评,洛杉矶,3851,￥4251起,￥4251起,￥4251起,￥3951起,￥3951起,￥3951起,￥3951起,目的地跟团,西海岸
美国洛杉矶+拉斯维加斯+大峡谷西峡4日3晚跟团游(3钻)·大峡谷羚羊谷3选1+洛杉矶接机+Vegas夜游,跟团游,供应商：57us,3晚3钻,共9个景点，包含6个经典景点：,行车时长16.1小时,暂无用餐信息,自由活动1次/1小时,,,,,,,,,,,,,,,,目的地跟团,西海岸
美国西海岸+洛杉矶+拉斯维加斯+旧金山+黄石国家公园9日8晚跟团游(3钻)·羚羊彩穴+17哩湾+送国家公园门票【促】,跟团游,供应商：熊大国旅,8晚3钻,共12个景点，包含11个经典景点：,行车时长38小时,28次自理,自由活动1次,(3),(2),(3),3.7?分,92人出游,9条点评,洛杉矶,5047,￥5847起,￥5847起,￥5847起,￥5547起,,,￥5547起,目的地跟团,西海岸
美国洛杉矶+拉斯维加斯+黄石国家公园+大峡谷国家公园+洛杉矶+盐湖城+圣乔治10日9晚跟团游·【洛杉矶免费接机+主题乐园门票】,跟团游,供应商：纳美旅行,9晚3钻,共27个景点，包含20个经典景点：,行车时长31小时,暂无用餐信息,自由活动1次,(1),(0),(0),5.0?分,20人出游,1条点评,洛杉矶,6668,￥6864起,￥6864起,,￥6864起,￥6864起,￥6864起,￥6864起,目的地跟团,西海岸
美国旧金山+拉斯维加斯+黄石国家公园+洛杉矶10日9晚跟团游·升级团【旧金山进出+小木屋+主题乐园门票】,跟团游,供应商：Namei Group Inc.,9晚3钻,共28个景点，包含18个经典景点：,行车时长18小时,暂无用餐信息,暂无自由活动信息,(2),(0),(0),5.0?分,新产品,2条点评,旧金山,7772,￥8000起,￥8000起,￥8000起,￥8000起,￥8000起,￥8000起,￥8000起,目的地跟团,西海岸
洛杉矶+盐湖城+拉斯维加斯+布莱斯峡谷国家公园10日9晚跟团游·【黄石两天入住小木屋+免费接机+主题乐园】,跟团游,供应商：纳美旅行,9晚3钻,共26个景点，包含14个经典景点：,行车时长2小时,暂无用餐信息,自由活动1次,(1),(0),(0),5.0?分,新产品,1条点评,洛杉矶,6502,￥6693起,￥6693起,￥6693起,￥6693起,￥6693起,,,目的地跟团,西海岸
美国拉斯维加斯+洛杉矶5日4晚跟团游(3钻)·娱乐之都+天使之城+携程送福利,跟团游,供应商：熊大国旅,4晚3钻,共4个景点，包含4个经典景点：,暂无交通信息,15次非自理,自由活动1次,(0),(1),(0),4.0?分,新产品,1条点评,洛杉矶,1734,￥2534起,￥2534起,￥2234起,￥2234起,￥2234起,￥2234起,￥2234起,目的地跟团,西海岸
美国旧金山+洛杉矶+拉斯维加斯11日10晚跟团游(3钻)·羚羊彩穴+旧金山+西峡谷+拉斯大道酒店,跟团游,供应商：熊大国旅,10晚3钻,共17个景点，包含15个经典景点：,行车时长5小时,暂无用餐信息,自由活动1次,(0),(0),(1),3.0?分,新产品,1条点评,洛杉矶,7906,,,￥8806起,￥8506起,￥8506起,￥8506起,￥8506起,目的地跟团,西海岸
美国黄石国家公园+洛杉矶+拉斯维加斯9日8晚跟团游·鲍威尔湖+大峡谷+主题任选+拉斯大道酒店,跟团游,供应商：熊大国旅,8晚3钻,共11个景点，包含9个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(0),(1),(0),4.0?分,新产品,1条点评,洛杉矶,5702,,,￥6502起,￥6202起,￥6202起,￥6202起,￥6202起,目的地跟团,西海岸
美国洛杉矶4日3晚跟团游·洛杉矶主题项目七选三,跟团游,供应商：熊大国旅,3晚3钻,共1个景点，包含1个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(0),(1),(0),4.0?分,新产品,1条点评,洛杉矶,3364,￥5664起,￥5664起,￥5664起,￥5364起,￥5364起,￥5364起,￥5364起,目的地跟团,西海岸
美国西雅图+奥林匹亚+波特兰5日4晚跟团游·深入城市+购物,跟团游,供应商：熊大国旅,4晚3钻,共12个景点，包含5个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(0),(1),(0),4.0?分,16人出游,1条点评,西雅图,2412,￥2412起,,,,,,,目的地跟团,西海岸
美国拉斯维加斯+旧金山+洛杉矶8日7晚跟团游·圣塔芭芭拉+旧金山深度 【含必付】,跟团游,供应商：熊大国旅,7晚3钻,共14个景点，包含14个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(0),(1),(2),3.3?分,45人出游,3条点评,洛杉矶,2831,￥3631起,￥3631起,￥3631起,￥3331起,￥3331起,￥3331起,￥3331起,目的地跟团,西海岸
美国西海岸+洛杉矶+拉斯维加斯+黄石国家公园14日13晚跟团游(3钻)·主题乐园+旧金山+羚羊彩穴 含必付,跟团游,供应商：熊大国旅,"12晚3钻,1晚4钻",共15个景点，包含12个经典景点：,行车时长17小时,暂无用餐信息,自由活动1次,(0),(1),(0),4.0?分,10人出游,1条点评,洛杉矶,10826,,,￥11426起,￥11126起,￥11126起,￥11126起,￥11126起,目的地跟团,西海岸
美国黄石国家公园+盐湖城+拉斯维加斯11日10晚跟团游(3钻)·羚羊峡谷+主题公园+大峡谷之旅 含必付,跟团游,供应商：熊大国旅,10晚3钻,共10个景点，包含9个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(0),(0),(1),3.0?分,10人出游,1条点评,洛杉矶,5881,,,￥6681起,￥6381起,,,,目的地跟团,西海岸
美国拉斯维加斯+洛杉矶+大峡谷国家公园6日5晚跟团游(4钻)·主题项目七选二+奥特拉斯 洛杉矶出发,跟团游,供应商：熊大国旅,5晚4钻,共5个景点，包含4个经典景点：,暂无交通信息,暂无用餐信息,自由活动2次,(0),(1),(0),4.0?分,19人出游,1条点评,洛杉矶,4156,￥5056起,￥5056起,,,,,￥4756起,目的地跟团,西海岸
美国西雅图+奥林匹亚+波特兰3日2晚跟团游·国际玫瑰中心,跟团游,供应商：熊大国旅,2晚3钻,共2个景点，包含1个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(0),(1),(0),4.0?分,新产品,1条点评,西雅图,1113,,￥1413起,,,,,,目的地跟团,西海岸
美国洛杉矶+旧金山+拉斯维加斯8日7晚跟团游(3钻)·叮当车+大峡谷+深度游【淡季大促】含必付,跟团游,供应商：熊大国旅,7晚3钻,共11个景点，包含11个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(0),(3),(0),4.0?分,46人出游,3条点评,,,,,,,,,,目的地跟团,西海岸
美国拉斯维加斯+圣巴巴拉+洛杉矶+旧金山+大峡谷国家公园10日9晚跟团游(3钻)·主题项目+十七哩湾+三晚拉斯酒店含必付,跟团游,供应商：熊大国旅,9晚3钻,共12个景点，包含12个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(0),(0),(1),3.0?分,新产品,1条点评,拉斯维加斯,6254,￥7154起,￥7154起,￥7154起,￥6854起,￥6854起,￥6854起,￥6854起,目的地跟团,西海岸
美国西海岸+洛杉矶+拉斯维加斯+旧金山+黄石国家公园10日9晚跟团游(3钻)·深度游+黄石公园+17哩湾 含必付,跟团游,供应商：熊大国旅,9晚3钻,共13个景点，包含11个经典景点：,行车时长43小时,暂无用餐信息,自由活动1次,(0),(1),(0),4.0?分,50人出游,1条点评,洛杉矶,5038,￥6138起,￥6138起,￥6138起,￥5838起,,,￥5838起,目的地跟团,西海岸
美国黄石国家公园+盐湖城+旧金山+拉斯维加斯9日8晚跟团游(3钻)·水上大峡谷+鲍威尔湖 含必付,跟团游,供应商：熊大国旅,8晚3钻,共10个景点，包含9个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(0),(1),(0),4.0?分,12人出游,1条点评,洛杉矶,4168,,,￥4668起,￥4668起,,,,目的地跟团,西海岸
美国洛杉矶+拉斯维加斯+大峡谷国家公园5日跟团游·壮美双峡谷、嗨购奥特莱斯【双峡系列爆款】·【途风独创双峡谷系列】(5天)文化名城洛杉矶，拉斯维加斯三晚住大道，壮美南峡谷，探险西峡谷，嗨购奥特,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共17个景点，包含10个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,新产品,1条点评,洛杉矶,1897,￥1897起,￥1897起,￥1897起,￥1897起,￥1897起,￥1897起,￥1897起,目的地跟团,西海岸
美国洛杉矶+旧金山4日半自助游·环球影城巴士游、中国戏院【二月特惠】·(4天)美西主题乐园欢乐游：环球影城、洛杉矶市区观光/圣地亚哥/迪士尼乐园三选一,半自助游,供应商：途风（熊大旗下）,暂无酒店信息,共10个景点，包含3个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,11人出游,1条点评,旧金山,2807,￥2807起,￥2807起,￥2807起,￥2807起,￥2807起,￥2807起,￥2807起,目的地跟团,西海岸
美国西雅图+奥林匹克国家公园3日跟团游·(3天)西雅图国家公园畅游：奥林匹克国家公园、雷尼尔火山国家公园、司诺蕾米瀑布,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共3个景点，包含2个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,新产品,1条点评,西雅图,1488,,,,,,￥1488起,,目的地跟团,西海岸
美国旧金山+洛杉矶+拉斯维加斯+盐湖城+大峡谷国家公园+黄石国家公园11日跟团游·大提顿国家公园、马蹄湾、拱门、布莱斯·(11天)美西自然风光游:黄石公园、大峡谷、大提顿国家公园、马蹄湾、拱门、拉斯维加斯、,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共30个景点，包含20个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,新产品,1条点评,旧金山,5219,￥5219起,￥5219起,,,,,,目的地跟团,西海岸
美国洛杉矶+拉斯维加斯5日半自助游·西峡谷+迪士尼欢乐之旅,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共8个景点，包含6个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,17人出游,1条点评,洛杉矶,2963,,￥2963起,￥2963起,,￥2963起,￥2963起,,目的地跟团,西海岸
美国达拉斯+休斯顿+奥斯汀+圣安东尼奥4日跟团游·<4天>美南深度：丰田中心姚明11号球衣，乔治农场牛仔表演，内观德州议会大楼，乔治布什总统图书馆，六,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共7个景点,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,新产品,1条点评,休斯顿,2730,￥2730起,,,,,￥2730起,,目的地跟团,西海岸
美国德克萨斯州+休斯顿+新奥尔良+达拉斯+奥斯汀+圣安东尼奥6日跟团游·【全新 深度  德州游】(6天)休斯顿，新奥尔良，达拉斯，奥斯汀?入内参观德州议会大厦，圣安东尼,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共8个景点,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,新产品,1条点评,达拉斯,4013,￥4013起,,,,,￥4013起,,目的地跟团,西海岸
美国洛杉矶+拉斯维加斯7日半自助游·(7天)摄影师最爱：魅惑羚羊彩穴、锡安公园、大峡谷、洛杉矶,半自助游,供应商：途风（熊大旗下）,暂无酒店信息,共27个景点，包含13个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(2),(0),(0),5.0?分,17人出游,2条点评,洛杉矶,3982,,,,,,￥3982起,￥3982起,目的地跟团,西海岸
美国西雅图+旧金山+奥林匹亚+波特兰5日跟团游·(5天)西雅图旧金山浪漫之旅：波特兰、哥伦比亚河谷、秋月酒庄、红杉木公园、101神奇海岸线,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共12个景点，包含2个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,新产品,1条点评,旧金山,2771,,,,,,,￥2771起,目的地跟团,西海岸
美国波特兰+西雅图+奥林匹亚3日跟团游·哥伦比亚河谷+佛罗伦萨海岸+伍德伯恩购物·(3天)波特兰精华游：哥伦比亚河谷、佛罗伦萨海岸、伍德伯恩购物,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共4个景点,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,新产品,1条点评,西雅图,1488,,￥1488起,,,,,,目的地跟团,西海岸
美国西雅图+黄石国家公园7日6晚跟团游·(7天)黄石国家公园盛景游：赏西雅图市区，览黄石全景，游多蓝湖秘境，玩奥林匹克公园,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共13个景点，包含5个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(2),(0),(0),5.0?分,11人出游,2条点评,西雅图,4404,,,,￥4404起,,,,目的地跟团,西海岸
美国西雅图+波特兰+奥林匹克国家公园7日跟团游·德国村、雷尼尔火山国家公园【二月特惠】·(7天)西雅图游：西雅图市区、奥林匹克国家公园、雷尼尔火山国家公园、波特兰,跟团游,供应商：途风（熊大旗下）,暂无酒店信息,共9个景点，包含1个经典景点：,暂无交通信息,暂无用餐信息,暂无自由活动信息,(1),(0),(0),5.0?分,新产品,1条点评,西雅图,3938,,,,￥3996起,,,￥3938起,目的地跟团,西海岸
美国黄石国家公园+盐湖城+旧金山+拉斯维加斯7日6晚半自助游(3钻)·水上大峡谷+鲍威尔湖+洛杉矶进出,半自助游,供应商：熊大国旅,6晚3钻,共8个景点，包含6个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(2),(5),(0),4.0?分,56人出游,8条点评,洛杉矶,2866,,,,￥3166起,￥3166起,,,目的地跟团,西海岸
美国旧金山+大峡谷国家公园+拉斯维加斯+洛杉矶+圣巴巴拉郡7日6晚跟团游(3钻)·主题七选一+大峡谷【爆款特惠】热推！,跟团游,供应商：熊大国旅,6晚3钻,共8个景点，包含8个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(2),(1),(1),3.6?分,59人出游,5条点评,拉斯维加斯,3097,￥3997起,￥3997起,￥3997起,￥3697起,￥3697起,￥3697起,￥3697起,目的地跟团,西海岸
美国黄石国家公园+盐湖城+拉斯维加斯13日12晚半自助(3钻)·生态黄石+水上大峡谷+优选拉斯酒店,半自助游,供应商：熊大国旅,12晚3钻,共21个景点，包含17个经典景点：,暂无交通信息,暂无用餐信息,自由活动1次,(2),(0),(0),3.7?分,27人出游,3条点评,洛杉矶,8870,,,￥9370起,￥9370起,￥9370起,￥9370起,￥9370起,目的地跟团,西海岸
美国西海岸+旧金山+拉斯维加斯+洛杉矶9日8晚跟团游·三大主城全四星级酒店+摩天轮地标7751元起,跟团游,供应商：美西国际旅游,8晚4钻,共16个景点，包含11个经典景点：,行车时长28.4小时,1次非自理，22次自理,暂无自由活动信息,(1),(0),(0),5.0?分,新产品,1条点评,旧金山,10246,,,,,,￥10246起,,目的地跟团,西海岸
